"Etablissement";"Siren";"Site";"Site non-trouve";"Categories";"Categorie-2";"Categorie-3";"Categorie-4";"Categorie-5";"Categorie-6";"Categorie-7";"Categorie-8";"Entreprise-de-servicesde-logistique";"Aucune-categorie"
"CGR BEDEVILLE";343552287;"https://www.cgr-international.com/fr/";;8479;;;;;;;;;
"CHALON'ENERGIE";726220098;"https://www.rezomee.fr/chalon-energie/";;;;;;;;;;1;
"CHRISTIAN BERNARD";339507394;;1;;;;;;;;;;
"CIGMA";537908758;;1;;;;;;;;;;
"CLAUGER";971506191;"https://www.clauger.fr";;8502;;;;;;;;;
"CLEIA";518290853;"https://www.cleia.fr/fr/";;;;;;;;;;1;
"CASTMETAL COLOMBIER";331786111;"https://industrie.usinenouvelle.com/fiche/etablissement/castmetal-colombier-47470894";;8481;;;;;;;;;
"COMEY";950378992;;1;;;;;;;;;;
"COMOTEC";352419782;;1;;;;;;;;;;
"BETON CONCEPT";838194629;"https://www.betonconceptam.com/";;;;;;;;;;1;
"CHENES CONSTRUCTIONS";326782505;"https://www.maisons-chenes.com/";;;;;;;;;;1;
"CHENES CONSTRUCTIONS";326782505;"https://www.maisons-chenes.com";;6902;;;;;;;;;
"BUREAU ALPES CONTROLES";351812698;"https://www.alpes-controles.fr/";;;;;;;;;;1;
"BUREAU ALPES CONTROLES";351812698;"https://www.alpes-controles.fr/";;;;;;;;;;1;
"COPIREL";443681903;"https://www.cofel.fr";;9404;;;;;;;;;
"CRISTEL";339841132;"https://www.cristel.com/";;6912;7321;;;;;;;;
"CTSP CENTRE";382119238;"https://www.veolia.fr/";;;;;;;;;;1;
"ATELIERS D'ARMANCON";302264262;"https://thomasmaroquinerie.fr/";;8308;5007;;;;;;;;
"BRISARD DAMPIERRE";390206381;"https://www.brisard-dampierre.fr/";;7308;7610;;;;;;;;
"DAUNAT BOURGOGNE";420990491;"https://www.daunat.com/";;1905;;;;;;;;;
"DAVEY BICKFORD";720501410;"http://www.daveybickfordenaex.com/era";;;;;;;;;;1;
"CHOCOLATERIE DE BOURGOGNE";498520576;"https://www.chocolat-castelain.fr/";;1704;;;;;;;;;
"CB - CHOCOLATERIE DE BOURGOGNE";809631252;"http://www.chocolateriedebourgogne.fr/";;1803;1806;;;;;;;;
"DEFTA AIRAX";311933568;"https://www.defta.eu/societe/implantations/defta-airax/";;7320;8448;;;;;;;;
"DELAGRAVE";562114066;;1;;;;;;;;;;
"DIAGER";408484277;"https://www.diager.com";;8205;;;;;;;;;
"DIEZE";814910378;;1;;;;;;;;;;
"DELPHARM DIJON";809759301;"https://www.delpharm.com/";;3003;3004;3005;3006;;;;;;
"DIMECO";998447411;"https://www.dimeco.com/fr/";;9024;8547;8515;8479;8462;8460;;;;
"BAUD DIMEP";325222529;"http://www.baud-industries.com/fr";;8207;;;;;;;;;
"DUC";722621166;"https://www.duc.fr/";;207;;;;;;;;;
"AUBERT & DUVAL";380342808;"https://www.aubertduval.com/fr/";;7218;7205;8462;;;;;;;
"DYNAPLAST";303074538;"https://www.groupeguillin.fr/";;3923;;;;;;;;;
"EFIRACK";379934268;"https://www.efirack.fr";;;;;;;;;;1;
"EKIPA";487444309;"http://www.parisot.com/";;9401;9405;9406;;;;;;;
"CONSTRUCTIONS ELECTRIQUES DE BEAUCOURT";321253916;"https://industrie.usinenouvelle.com/fiche/etablissement/constructions-electriques-de-beaucourt-46749459";;2711;8504;;;;;;;;
"EMBALLAGES DIFFUSION";339704496;"http://www.emballages-diffusion.com";;3923;5607;3903;3923;4819;6305;6911;;;
"CFL EMBALLAGES";350520888;"https://www.lgr-packaging.com/";;4819;;;;;;;;;
"ENDEL";438277030;"https://www.endel-engie.fr";;;;;;;;;;1;
"ENDEL";438277030;"https://www.endel-engie.fr/";;;;;;;;;;1;
"ENDEL";438277030;"https://www.endel-engie.fr/";;;;;;;;;;1;
"DANIELSON ENGINEERING";409564481;"http://www.danielson-eng.fr/";;8501;2710;8406;8410;8412;8415;;;;
"EPUR CENTRE";687050369;"http://www.epur.fr/";;;;;;;;;;1;
"EQIOM";377917067;"https://www.eqiom.com/";;2523;6806;6810;8466;;;;;;
"ERDE";332160118;"https://www.erde.fr/";;8707;8716;;;;;;;;
"CHIMIREC CENTRE EST";393903067;"https://chimirec.fr/site.details-71-9.php";;;;;;;;;;1;
"AUTOMATISMES DU CENTRE EST - ACE";383875440;"https://www.acefrance.com/fr/";;;;;;;;;;1;
"CHIMIREC CENTRE EST";393903067;"https://chimirec.fr/site.details-71-9.php";;;;;;;;;;1;
"CHIMIREC CENTRE EST";393903067;"https://chimirec.fr/";;;;;;;;;;1;
"ESTIMPRIM";414397539;"https://www.estimprim.fr";;3703;;;;;;;;;
"ALPHONSE CHARPIOT ET COMPAGNIE";535820526;"http://www.charpiot.fr/";;;;;;;;;;1;
"ETABLISSEMENTS CHAROT";705880383;"https://www.charot.com";;7322;;;;;;;;;
"ETABLISSEMENTS BEAUSEIGNEUR";535720346;"https://www.beauseigneur.com/";;4415;6305;3825;4202;;;;;;
"AUTAJON ETIQUETTE BOURGOGNE";378799738;"https://www.autajon.com/fr/#";;4821;4819;;;;;;;;
"EUROCAST DELLE";513947630;"https://groupe-gmd.com/";;8484;8454;8207;;;;;;;
"EUROCHIMIC-SOCHIPHARM";342649506;"https://www.elco-pharma.fr/";;3401;3924;;;;;;;;
"EUROCHIMIC-SOCHIPHARM";342649506;"http://www.elcopharma.com/";;3401;;;;;;;;;
"EUROCOOLER";498333434;"https://eurocooler.com";;8418;;;;;;;;;
"EUROGERM";349927012;"https://www.eurogerm-france.com/";;1703;1905;1101;1102;1104;1904;;;;
"COBRA EUROPE";320477102;"http://cobra-europe.eu/fr/";;8465;8477;8451;3812;4002;8445;;;;
"CABLAGE CONNECTIQUE EUROPEEN";353668924;"https://www.cce-connectique.com/fr/";;;;;;;;;;1;
"EUROPEENNE DE CONDIMENTS";17150038;"https://www.moutarde.com";;2103;;;;;;;;;
"EUROSERUM";400869277;"https://www.euroserum.com/";;404;;;;;;;;;
"EUROSERUM";400869277;"https://www.euroserum.com/";;404;;;;;;;;;
"EUROSIT";775732811;"https://eurosit.fr/Accueil";;9403;;;;;;;;;
"EXAGON ENGINEERING";478725278;"https://exagon-engineering.com";;8603;;;;;;;;;
"EXTRATOLE";793008830;"https://www.extratole.fr";;7308;;;;;;;;;
