'dep_epci';'siren_epci';'nom_complet';'nj_epci2021';'fisc_epci2021';'nb_com_2021';'ptot_epci_2021';'pmun_epci_2021'
'07';240700815;'CC Berg et Coiron';'CC';'FPU';13;7987;7768
'07';240700864;'CC du Rhône aux Gorges de l''Ardèche';'CC';'FPU';9;19330;18914
'08';200041622;'CC Ardennes Thiérache';'CC';'FPU';37;9987;9761
'08';200041630;'CA Ardenne Métropole';'CA';'FPU';58;124519;121469
'08';200043156;'CC du Pays Réthelois';'CC';'FPU';65;30568;29904
'08';200067759;'CC Vallées et Plateau d''Ardenne';'CC';'FPU';31;25397;24885
'08';240800821;'CC Ardenne, Rives de Meuse';'CC';'FA';19;27232;26654
'08';240800847;'CC des Portes du Luxembourg';'CC';'FPU';50;20442;20072
'08';240800862;'CC des Crêtes Préardennaises';'CC';'FPU';94;22347;21852
'08';240800920;'CC de l''Argonne Ardennaise';'CC';'FPU';95;17808;17248
'09';200044469;'CC du Pays de Mirepoix';'CC';'FPU';33;10833;10522
'09';200066223;'CC Arize Lèze';'CC';'FPU';27;11017;10850
'09';200066231;'CC des Portes d''Ariège Pyrénées';'CC';'FA';35;40552;39515
'09';200066363;'CC de la Haute Ariège';'CC';'FPU';52;7360;7128
'09';200067791;'CA Pays Foix-Varilhes';'CA';'FPU';42;32740;31816
'09';200067940;'CC Couserans-Pyrénées';'CC';'FPU';94;30830;29928
'09';240900431;'CC du Pays de Tarascon';'CC';'FPU';20;8508;8384
'09';240900464;'CC du Pays d''Olmes';'CC';'FPU';24;15280;14923
'10';200000545;'CC des Portes de Romilly sur Seine';'CC';'FA';6;18832;18432
'10';200006716;'CC du Nogentais';'CC';'FA';23;17136;16830
'10';200040137;'CC des Lacs de Champagne';'CC';'FPU';43;9520;9344
'10';200066892;'CC de Vendeuvre-Soulaines';'CC';'FPU';38;7861;7674
'10';200069003;'CC du Barséquanais en Champagne';'CC';'FA';53;19365;18818
'10';200069250;'CA Troyes Champagne Métropole';'CA';'FPU';81;176397;172329
'10';200070126;'CC Seine et Aube';'CC';'FA';25;10367;10177
'10';200071041;'CC du Chaourçois et du Val d''Armance';'CC';'FA';42;10733;10491
'10';200071777;'CC d''Arcis, Mailly, Ramerupt';'CC';'FA';39;11980;11729
'10';241000223;'CC Forêts, Lacs, Terres en Champagne';'CC';'FPU';15;6970;6840
'10';241000405;'CC de la Région de Bar sur Aube';'CC';'FA';27;11399;11085
'10';241000447;'CC du Pays d''Othe';'CC';'FA';14;7921;7803
'10';241000488;'CC de l''Orvin et de l''Ardusson';'CC';'FPU';25;8658;8468
'11';200035707;'CC Piège Lauragais Malepère';'CC';'FPU';38;16339;15786
'11';200035715;'CA Carcassonne Agglo';'CA';'FPU';83;116352;113464
'11';200035855;'CC Castelnaudary Lauragais Audois';'CC';'FPU';43;28030;27116
'11';200035863;'CC Région Lézignanaise, Corbières et Minervois';'CC';'FPU';54;33902;33336
'11';200042463;'CC de la Montagne Noire';'CC';'FA';22;5995;5838
'11';200043776;'CC Pyrénées audoises';'CC';'FPU';61;14150;13844
'11';200071926;'CC du Limouxin';'CC';'FPU';76;28408;27553
'11';241100593;'CA Le Grand Narbonne';'CA';'FPU';37;132832;130390
'12';200067064;'CC Decazeville Communauté';'CC';'FPU';12;19332;18735
'12';200067155;'CC Saint Affricain, Roquefort, Sept Vallons';'CC';'FPU';14;14424;13653
'12';200067163;'CC Monts, Rance et Rougier';'CC';'FPU';23;6516;6285
'12';200067171;'CC Aubrac, Carladez et Viadène';'CC';'FPU';21;10369;10147
'12';200067478;'CC Comtal Lot et Truyère';'CC';'FPU';21;19904;19355
'12';200068484;'CC des Causses à l''Aubrac';'CC';'FPU';17;14976;14524
'12';200068831;'CC Pays Ségali Communauté';'CC';'FPU';23;18528;17956
'12';200069383;'CC Ouest Aveyron Communauté';'CC';'FPU';29;28470;27413
'12';241200187;'CA Rodez Agglomération';'CA';'FPU';8;58921;55851
'12';241200542;'CC du Réquistanais';'CC';'FPU';11;5490;5313
'12';241200567;'CC de Millau Grands Causses';'CC';'FPU';15;30435;29532
'12';241200625;'CC du Pays Rignacois';'CC';'FA';8;5810;5577
'12';241200641;'CC Conques-Marcillac';'CC';'FPU';12;12382;11998
'12';241200658;'CC du Pays de Salars';'CC';'FA';9;8140;7899
'12';241200674;'CC du Plateau de Montbazens';'CC';'FA';13;6305;6156
'12';241200765;'CC de Lévézou Pareloup';'CC';'FPU';10;5510;5346
'12';241200807;'CC Aveyron Bas Ségala Viaur';'CC';'FPU';7;5737;5571
'12';241200906;'CC Larzac et Vallées';'CC';'FPU';16;6189;6079
'12';241200914;'CC de la Muse et des Raspes du Tarn';'CC';'FPU';13;5656;5547
'13';200035087;'CA Terre de Provence';'CA';'FPU';13;60602;59572
'13';200054807;'Métropole d''Aix-Marseille-Provence';'METRO';'FPU';92;1911657;1889666
'13';241300375;'CC Vallée des Baux-Alpilles (CC VBA)';'CC';'FPU';10;28384;27840
'13';241300417;'CA d''Arles-Crau-Camargue-Montagnette';'CA';'FPU';6;84954;83669
'14';200065563;'CC Normandie-Cabourg-Pays d''Auge';'CC';'FPU';39;31739;31223
'14';200065589;'CC Val ès Dunes';'CC';'FA';18;18566;18334
'14';200065597;'CU Caen la Mer';'CU';'FPU';48;273284;268470
'14';200066710;'CC Cingal-Suisse Normande';'CC';'FPU';42;24771;24381
'14';200066728;'CC Vallées de l''Orne et de l''Odon';'CC';'FPU';23;25723;25392
'14';200066801;'CC Isigny-Omaha Intercom';'CC';'FPU';59;27110;26680
'14';200066827;'CC du Pays de Honfleur-Beuzeville';'CC';'FPU';23;27840;27283
'14';200068799;'CC Intercom de la Vire au Noireau';'CC';'FPU';17;48458;46853
'14';200069516;'CC Seulles Terre et Mer';'CC';'FPU';28;17465;17138
'14';200069524;'CC Pré-Bocage Intercom';'CC';'FPU';27;25140;24748
'14';200069532;'CA Lisieux Normandie';'CA';'FPU';53;75699;73740
'14';241400415;'CC Coeur Côte Fleurie';'CC';'FPU';12;21114;20677
'14';241400514;'CC du Pays de Falaise';'CC';'FPU';58;28486;27858
'14';241400555;'CC de Bayeux Intercom';'CC';'FPU';36;30548;29880
'14';241400860;'CC Coeur de Nacre';'CC';'FPU';12;24321;23771
'14';241400878;'CC Terre d''Auge';'CC';'FPU';44;19618;19119
'15';200066637;'CC Hautes Terres';'CC';'FPU';35;11874;11555
'15';200066660;'CC de Saint-Flour';'CC';'FPU';53;24413;23447
'15';200066678;'CC de la Châtaigneraie Cantalienne';'CC';'FPU';50;21851;21207
'15';241500230;'CA du Bassin d''Aurillac';'CA';'FPU';25;55305;53247
'15';241500255;'CC du Pays Gentiane';'CC';'FPU';17;6963;6765
'15';241500271;'CC du Pays de Mauriac';'CC';'FPU';11;6997;6689
'15';241501055;'CC Sumène - Artense';'CC';'FPU';16;8590;8390
'15';241501089;'CC Cère et Goul en Carladès';'CC';'FPU';11;5009;4908
'15';241501139;'CC du Pays de Salers';'CC';'FPU';27;8711;8512
'16';200029734;'CC des 4B Sud Charente';'CC';'FPU';40;20471;19917
'16';200043016;'CC Val de Charente';'CC';'FPU';32;14198;13841
'16';200068914;'CC La Rochefoucauld - Porte du Périgord';'CC';'FPU';27;22209;21778
'16';200070282;'CC Lavalette Tude Dronne';'CC';'FPU';50;18188;17807
'16';200070514;'CA du Grand Cognac';'CA';'FPU';56;71009;69283
'16';200071827;'CA du Grand Angoulême';'CA';'FPU';38;145970;141776
'16';200072023;'CC Coeur de Charente';'CC';'FA';51;22336;21979
'16';200072049;'CC de Charente Limousine';'CC';'FA';58;36401;35378
'16';241600303;'CC du Rouillacais';'CC';'FPU';13;10188;10019
'17';200036473;'CA de Saintes';'CA';'FPU';36;62180;59760
'17';200041499;'CC Aunis Atlantique';'CC';'FPU';20;30601;30188
'17';200041523;'CC de la Haute Saintonge';'CC';'FA';129;69941;68107
'17';200041614;'CC Aunis Sud';'CC';'FPU';24;32590;31958
'17';200041689;'CC Vals de Saintonge Communauté';'CC';'FPU';110;53574;52173
'17';200041762;'CA Rochefort Océan';'CA';'FPU';25;64608;63220
'17';241700434;'CA de La Rochelle';'CA';'FPU';28;176010;171811
'17';241700459;'CC de l''Ile de Ré';'CC';'FPU';10;17655;17336
'17';241700517;'CC Coeur de Saintonge';'CC';'FPU';18;17799;17279
'17';241700624;'CC de l''Ile d''Oléron';'CC';'FPU';8;22448;22092
'17';241700632;'CC de Gémozac et de la Saintonge Viticole';'CC';'FPU';16;14691;14401
