2019;141932;C14Z;62102000;7440938;9936435
2019;205210;C20C;35052050;34341;1910664
2020;132020;C13Z;52121110;29303;16645
2020;292022;C29A;87161092;24828636;12789219
2020;221115;C22A;40131000;381544;1269588
2019;289610;C28D;84775980;4131830;4284225
2020;101210;C10A;02076031;344531;0
2020;325030;C32B;94029000;74726502;71731273
2020;222130;C22B;39201081;152282;3721869
2020;110110;C11Z;22083079;453733;18213439
2019;102013;C10B;03034985;1716;338767
2019;108423;C10H;09109939;124786;87946
2020;102014;C10B;03048811;2062;0
2019;201452;C20A;29342080;421568;7944163
2019;109110;C10K;23099020;3312227;1437970
2020;329942;C32C;96139000;11076117;2368911
2019;264051;C26D;85229080;25834015;10433915
2019;241014;C24A;72052900;5114335;2550953
2020;205959;C20C;38249925;10613859;934974
2020;110110;C11Z;22086099;18833312;0
2019;212013;C21Z;30044200;19228873;592109
2020;282219;C28A;84312000;97045185;246006053
2020;201651;C20A;39029090;71891550;102794405
2019;322015;C32A;92089000;409417;707277
2020;105152;C10E;04039013;34291666;2365458
2019;221973;C22A;40169997;87191482;82857786
2020;131061;C13Z;52052100;9923;355574
2019;265164;C26E;90292031;6194488;28988918
2019;172411;C17B;48149070;4198617;3386970
2020;108221;C10H;18062030;44512539;64899892
2020;108912;C10H;04079090;999524;626533
2019;257111;C25E;82130000;5100507;9366852
2019;231112;C23A;70052980;36890392;7284831
2019;266014;C26F;90215000;92505023;195609366
2019;101132;C10A;02032913;25499276;1018780
2019;139312;C13Z;57024190;374951;926249
2020;264011;C26D;85271300;1583993;7486394
2019;284131;C28C;84622110;21275263;26921817
2019;012819;A01Z;09109105;2885934;1299491
2020;101220;C10A;02071470;4693690;6157109
2020;102025;C10B;16042010;7161074;7014599
2019;281311;C28A;84132000;38076982;6826927
2019;108919;C10H;21069055;631751;1213774
2019;105155;C10E;04041028;498724;71205
2020;101139;C10A;02089010;1572865;169484
2020;132011;C13Z;50072011;556426;1306894
2020;282943;C28A;84762100;1778544;25923149
2019;151212;C15Z;42021910;2564552;4398889
2020;102014;C10B;03048910;76381;3325277
2020;132011;C13Z;50072039;84864;406418
2019;201441;C20A;29213010;102513;1515690
2019;131061;C13Z;52079000;162342;304407
2020;141314;C14Z;61043100;2518272;3405993
2020;241012;C24A;72022100;37872811;23668702
2020;201443;C20A;29251920;35154;178914
2020;101311;C10A;02101989;37225;811782
2020;284112;C28C;84573090;2531364;345584
2020;101150;C10A;15012090;2033133;4990292
2019;103918;C10C;20019065;251895;2975348
2020;231312;C23A;70132290;1932601;574482
2020;271240;C27B;85389099;627529441;361141361
2020;104156;C10D;15149910;79212;14149286
2020;267019;C26G;90069100;2982098;6540388
2019;151212;C15Z;42022290;141586254;149874947
2019;267014;C26G;90065900;358895;1384502
2020;131010;C13Z;15050010;3371;7612
2019;151133;C15Z;41079290;127196;202526
2020;012512;A01Z;08102090;1030254;5871939
2019;201441;C20A;29214200;122547;396603
2019;329941;C32C;96140090;711971;3111518
2020;244530;C24B;81029600;4026;170378
2020;102015;C10B;03049921;337302;3924778
2019;222130;C22B;39202021;41744855;85676253
2019;252111;C25B;73221900;9443939;60033970
2020;221930;C22A;40093100;30930989;24188082
2020;106211;C10F;35051050;107635247;43898665
2019;281326;C28A;84148022;8152315;27416885
2020;101315;C10A;16025031;17860705;845209
2019;105122;C10E;04022999;848703;277625
