'dept';'siren';'raison_sociale';'nature_juridique';'mode_financ';'nb_membres';'total_pop_tot';'total_pop_mun';'dep_com';'insee';'siren_membre';'nom_membre';'ptot_2021';'pmun_2021'
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01058';210100582;'Brégnier-Cordon';857;836
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01079';210100798;'Champagne-en-Valromey';847;816
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01453';200086403;'Arvière-en-Valromey';731;709
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01015';200053668;'Arboys en Bugey';664;647
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01187';200053676;'Haut Valromey';665;643
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01227';200084978;'Magnieu';657;643
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01239';210102398;'Massignieu-de-Rives';631;617
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01116';210101168;'Contrevoz';510;499
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01415';210104154;'Talissieu';481;475
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01141';210101416;'Cuzieu';464;449
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01039';210100392;'Béon';451;443
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01372';210103727;'Saint-Martin-de-Bavel';447;442
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01358';210103586;'Saint-Germain-les-Paroisses';434;431
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01133';210101333;'Cressin-Rochefort';399;393
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01009';210100095;'Andert-et-Condon';333;324
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01310';210103107;'Prémeyzel';254;250
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01268';210102687;'Murs-et-Gélignieux';252;249
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01193';210101937;'Izieu';236;229
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01330';210103305;'Ruffieu';190;184
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01234';210102349;'Marignieu';173;170
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01302';210103024;'Pollieu';166;161
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01117';210101176;'Conzieu';151;149
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01329';210103297;'Rossillon';155;149
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01110';210101101;'Colomieu';150;148
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01100';210101002;'Cheignieu-la-Balme';137;133
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01208';210102083;'Lavours';132;128
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01006';210100061;'Ambléon';118;112
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01066';210100665;'La Burbanche';84;83
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01456';210104568;'Vongnes';73;71
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01162';210101622;'Flaxieu';69;66
'01';200040350;'CC Bugey Sud';'CC';'FPU';43;34921;33923;'01';'01019';210100194;'Armix';31;27
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01427';210104279;'Trévoux';7044;6882
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01322';210103222;'Reyrieux';5061;4923
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01238';210102380;'Massieux';2687;2632
'01';200042497;'CC Dombes Saône Vallée';'CC';'FPU';19;39678;38587;'01';'01166';210101663;'Frans';2482;2422
