NAF65,AZ1,AZ2,AZ3,BZ0,CA0,CB0,CC1,CC2,CC3,CD0,CE0,CF0,CG1,CG2,CH1,CH2,CI0,CJ0,CK0,CL1,CL2,CM1,CM2,DZ0,EZ1,EZ2,FZ0,GZ1,GZ2,GZ3,HZ1,HZ2,HZ3,HZ4,HZ5,IZ0,JA1,JA2,JB0,JC0,KZ1,KZ2,KZ3,LI0,LZ0,MA1,MA2,MB0,MC1,MC2,NZ1,NZ2,NZ3,NZ4,QA0,QB0,RZ1,RZ2,SZ1,SZ2,SZ3,TZ0,UZ0,OZ0,PZ0
AZ1,0.1704474879047264,0.0245951354679803,0.0,0.0,0.2084050689862027,0.01323049881811019,9.363295880149813e-07,0.0,0.0,0.0,0.0009780137623777482,0.0,0.007375155850121399,0.0,0.0,1.904471699550545e-07,3.777576307041402e-07,4.722550177095632e-07,2.648866285229922e-07,0.0,0.0,6.199243692269543e-07,0.0,0.0,0.001076774505070014,1.290518484779473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115404112033233,2.422229142876916e-06,0.0,0.0,2.146406379119759e-07,0.0,0.0,0.0,0.0,2.201144595189499e-06,2.152412316103273e-07,2.066756226103131e-06,1.531299767242435e-07,0.0,4.781257470714798e-06,1.30248612038228e-06,3.345600535296086e-06,0.0,0.0002014141369080811,5.872026151704098e-06,7.101394830281512e-05,0.0005724632379837588,0.0003100376163136013,0.0,0.0,1.141096593826668e-06,0,0,0.0,0.0001285114339561043
AZ2,1.48864905098623e-07,0.2804233374384237,0.0,0.0,8.421392644548014e-06,0.0,0.1377434456928839,0.002260503689249344,0.001238288745908116,0.0,7.567781999054027e-05,0.0,0.0,0.0,0.0,0.0,3.777576307041402e-07,0.0,1.191989828353465e-05,0.0,0.0,1.239848738453909e-06,1.78826895565093e-07,2.654045207236697e-07,5.601158860453886e-05,0.0001110858068270958,0.0004141721636230518,0.0,2.316372822391021e-06,0.0,2.93676173073158e-06,0.0,0.0,0.0,0.0,1.464008271646735e-05,1.972386587771203e-05,0.0001001080302484696,0.0,2.146406379119759e-07,1.152821423691761e-05,0.0,0.0,0.0,1.220634730059631e-05,6.618667872017563e-06,7.381272236082612e-06,1.975376699742742e-05,0.0,1.494142959598374e-05,2.60497224076456e-06,1.147063040672944e-05,0.0,3.011174804273638e-06,3.813790181003693e-06,8.240526424217454e-06,0.0001748481966493526,0.0001686794694119976,0.0,0.0,2.852741484566669e-06,0,0,0.0004209440820851272,5.950702657782658e-05
AZ3,0.0,0.0007897167487684729,0.03364282726892513,0.0,0.00851523925984034,0.0005521546760409721,0.0,0.0,0.0,0.0,0.0001023786637372027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZ0,0.002680461481205806,0.0001724137931034483,0.01813885403596821,0.0198851570964247,0.003189977389137557,0.001369779986665859,0.0003520599250936329,0.004364900298798707,0.001944914775934078,0.6022697696230729,0.02356250286080469,0.0007846925506223296,0.001080779578712514,0.03329882094408993,0.05774167792654465,0.001800106650415175,0.0005428377153218495,0.0007041322314049587,0.0004664653528289892,0.0003433648865868905,0.0004244950133819789,0.0008201599404872605,0.0006748927038626609,0.09122369177688326,0.001247706422018349,0.0004329562995015056,0.004007167353859196,0.000246692681069763,6.040051397253569e-05,0.0001393006945324877,1.968718049120059e-05,6.257582529851223e-05,0.0001745648455579032,4.67505397156257e-05,0.0001288497800125707,0.0009666114613547566,6.782241600055365e-05,2.628736046092906e-05,0.0001523108295887247,4.325008853926314e-05,7.55738488864599e-05,0.0,0.0,0.0,1.580822027454276e-05,6.091326854572262e-05,5.196415654202159e-05,0.0003511270366286904,0.0001143876587259943,8.546497728902701e-05,9.980299897429218e-05,4.22979496248148e-05,0.0,0.0004485535208440212,0.0001204068042859737,3.659763206049516e-05,0.0,0.0002652940011878836,0.0006477265828932192,0.0004387150431437779,7.074798881725338e-05,0,0,0.0004284204284719895,0.0001038034042174307
CA0,0.08343222925195386,0.0001816502463054187,0.03254705144291091,0.006472372697724811,0.1596021180379309,0.01611067337414389,0.002608614232209738,0.006544911275077748,0.0007732249689581216,0.001668034468608945,0.02694420286538197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CB0,0.002161369557126907,0.0003571428571428571,0.003910497699707235,0.001022751895991332,0.002832471967145032,0.2737481059458149,0.008073033707865168,0.04887919995121654,0.00341460661474207,0.001190866991031127,0.003645656917044293,0.003927549693479472,0.006881357044425487,0.002227528208595698,0.001929738361380666,0.001743924735278434,0.005358491991538229,0.003721841794569067,0.004823585505403687,0.01169732690361374,0.003895287679258599,0.02465811171037133,0.006036301859799714,0.0002752244879904454,0.0009541284403669725,0.002463625091728029,0.002916965890261717,0.006276577519748739,0.005852425198639896,0.004631681505875134,0.0003344645304444299,0.005842538790626396,0.001508703088841936,0.001129308419563761,0.001701759899434318,0.003658831172396124,0.001369597563929548,0.02701944544472452,0.002842293324671106,0.0002146406379119759,0.0002292833720453614,0.0002106400216041048,0.0003602268781108925,0.0004808042834358624,0.0002885500460239324,0.0007525371560176067,0.0001093904545387443,0.0006074666176650741,0.0,0.008645111164236195,0.001509581413523062,0.0008103522439420732,0.001292735042735043,0.001917560725358553,0.003712028573158182,0.001383196597147324,0.005846806642768308,0.004706394773312216,0.0004431493959813027,0.01509200540596736,1.255206253209334e-05,0,0,0.001148418366031607,0.001292237375161381
CC1,0.007554745068850018,6.157635467980296e-06,0.01572563780844835,0.007445287107258938,0.002678695030224724,0.0007806533729316929,0.1825767790262172,0.01324410025001524,0.006212890845467885,4.89477695058327e-05,0.0009682488823789689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CC2,0.002159136583550428,0.0003017241379310345,0.002417398578000837,0.004385698808234019,0.008977031516773568,0.01013031092793503,0.004690074906367041,0.1758265747911458,0.1444497121571283,0.0007617679817105339,0.008692726690163409,0.01568976407207877,0.008461513222652404,0.007843891307103917,0.0005235843262498465,0.001229336482059877,0.004267150196433968,0.004822195985832349,0.002329677897859716,0.001256325534321605,0.0007616409901332872,0.008919471824437418,0.001546852646638054,0.0002604503030034945,0.001922742636407533,0.006411093398112301,0.001334998476149106,0.001346911582754354,0.001370680838789193,0.005351690306056677,0.0003534990972176902,0.002363833727092778,8.85400945769192e-05,0.001620189086577831,0.0004093337523570082,0.001248433053646753,0.06060071282743348,0.03499603889088945,0.001247360727627091,0.0009730733319739427,0.001779870884000547,0.001524836777811314,0.00805255237874754,0.0003532125768967874,0.0009612998759354865,0.004256018682938904,0.002563220596702047,0.001735881416146025,0.00228827788855074,0.003822017690652642,0.00311212777388841,0.000323328394589686,0.009165331196581196,0.00359623491624473,0.0001632060052061263,0.001142767120299567,0.001816884922086473,0.002305286081963967,0.000265282583621684,0.002199812870360744,0.001044103383351401,0,0,0.002413622418726959,0.001479291257957766
CC3,2.381838481577968e-06,0.0002278325123152709,0.001982434127979925,0.000819068255687974,0.0004799616999676987,0.0008176253106248864,0.0007780898876404495,0.004085614976522958,0.02596681341009143,0.0001128436602379975,0.0008249797836468775,0.0009712056474085083,0.0009879257169105584,0.000775049655580442,0.0002269377226384965,0.0002590081511388741,0.0006327440314294349,0.0004500590318772136,0.0003827611782157237,0.000290379234387093,0.0001685729883756541,0.000758787427933792,0.0002546494992846924,6.599725748661918e-05,0.0007938194109126026,0.001259647258280827,0.0001758909273070577,0.001002379366136861,0.001823072821516918,0.003296472363061824,0.0001113794078618199,0.0003601302598812336,0.0002847368950598652,0.000979230253852453,0.0003221244500314268,0.00037716513098299,0.0340714211564414,0.02862405473532589,0.004552000433111364,0.001879071464600393,0.001798999180215876,0.002078918523931312,0.01036555156846857,0.0,0.0005911740771868038,0.005259311873782542,0.004878282820826998,0.005478990567193434,0.0009728198132018049,0.004056299306717667,0.002876703407629312,0.0006359030731730631,0.002252938034188034,0.004747061316441014,0.000778255342333071,0.001408160544844218,0.00639293291389275,0.00773668580479113,0.00981970497177199,0.000536438299199501,0.002589718719689622,0,0,0.001920080435174921,0.002593749536260703
CD0,0.01962396724972088,0.005629618226600986,0.03025094102885822,0.01822535211267606,0.004001488163905681,0.00254136614340263,0.003150749063670412,0.004510640892737362,0.003069195168754939,0.0326030247962952,0.0554352237530706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
