2019;01;0111;A01Z;27822119;7355577
2019;01;0113;A01Z;14001953;9296019
2019;01;0119;A01Z;858144;3132031
2019;01;0121;A01Z;423176;427256
2019;01;0122;A01Z;30920;624476
2019;01;0123;A01Z;590378;2615761
2019;01;0124;A01Z;187954;684929
2019;01;0125;A01Z;712135;316138
2019;01;0126;A01Z;0;34439
2019;01;0127;A01Z;2057;51935
2019;01;0128;A01Z;285366;1564187
2019;01;0129;A01Z;41491;302035
2019;01;0130;A01Z;407549;2425017
2019;01;0141;A01Z;23818268;0
2019;01;0142;A01Z;47979067;0
2019;01;0143;A01Z;3059775;240626
2019;01;0145;A01Z;10828;0
2019;01;0146;A01Z;3422681;0
2019;01;0147;A01Z;67833;330564
2019;01;0149;A01Z;2264676;451982
2019;01;0210;A02Z;0;17430
2019;01;0220;A02Z;2555151;516396
2019;01;0230;A02Z;317934;290392
2019;01;0300;A03Z;752674;2310398
2019;01;0510;B05Z;0;3543385
2019;01;0610;B06Z;346500;0
2019;01;0620;B06Z;0;58452
2019;01;0721;B07Z;0;197
2019;01;0729;B07Z;0;363990
2019;01;0811;B08Z;228152;577014
2019;01;0812;B08Z;4851971;2215363
2019;01;0891;B08Z;23153;659529
2019;01;0892;B08Z;0;860099
2019;01;0893;B08Z;836759;93024
2019;01;0899;B08Z;93130;727013
2019;01;1011;C10A;5777554;14810207
2019;01;1012;C10A;3524142;131408
2019;01;1013;C10A;7998981;33094773
2019;01;1020;C10B;854055;7454288
2019;01;1031;C10C;107897;7974921
2019;01;1032;C10C;1156419;2352798
2019;01;1039;C10C;769661;14251409
2019;01;1041;C10D;203091;4570105
2019;01;1042;C10D;2192;2223647
2019;01;1051;C10E;58070492;123576048
2019;01;1052;C10E;527;3645440
2019;01;1061;C10F;7012989;10199862
2019;01;1062;C10F;13086;1556701
2019;01;1071;C10G;12873659;7266942
2019;01;1072;C10G;29033766;8686324
2019;01;1073;C10G;21923;9453140
2019;01;1081;C10H;7735;1044692
2019;01;1082;C10H;7894672;8331591
